category;question;option_a;option_b;option_c;option_d;correct_option;source_url
sport;Which sport is the most popular in Germany?;Basketball;Football;Tennis;Ice hockey;B;deutschland.de
sport;Which league is the top professional football league in Germany?;Premier League;Serie A;Bundesliga;La Liga;C ;
sport;Which German city is home to the football club FC Bayern MÅnchen?;Berlin;Hamburg;Munich;Frankfurt;C;
sport;Which sport is Germany especially successful in during the Winter Olympics?;Surfing;Biathlon;Cricket;Baseball;B;
sport;What does the word ?Verein? usually refer to in German sports culture?;A company;A school;A sports club;A sports club;C;
sport;Which of these athletes is a famous German footballer?;Lionel Messi;Lionel Messi;Cristiano Ronaldo;Luka Modri?;C;
sport;Which sport is traditionally practiced in German rowing clubs?;Surfing;Canoeing;Rowing;Rowing;C;
sport;Which organization represents Olympic sports in Germany?;DOSB;FIFA;UEFA;IOC;A;
sport;In which year did Germany host the FIFA World Cup?;2006;2014;1990;1998;A;
sport;Which sport uses a ball and resin and is very popular in Germany?;Volleyball;Volleyball;Rugby;Rugby;A;
sport;Which German city is famous for hosting the annual ?BMW Berlin Marathon??;Berlin;Cologne;Dresden;Bremen;A;
sport;Which sport is played in the German ?DEL? league?;Basketball;Ice hockey;Volleyball;Rugby;B;
sport;Which of these is a well-known German handball club?;Celtic;FC Porto;Ajax;THW Kiel;D;
sport;In Germany, which organisation is famous for sport and youth programmes and is often linked to football?;DFB;UNESCO;NATO;ECB;A;
sport;Which of these athletes is a German Formula 1 legend?;Ayrton Senna;Michael Schumacher;Lewis Hamilton;Fernando Alonso;B;
sport;Which winter sport includes both cross-country skiing and rifle shooting?;Bobsleigh;Biathlon;Skeleton;Curling;B;
sport;Which German city is strongly associated with the football club Borussia Dortmund?;Mainz;Stuttgart;Leipzig;Dortmund;D; 
sport;Which sport is popular in Germany and is played with a small white ball on a table?;Table tennis;Baseball;Polo;Cricket;A;
sport;What is the name of Germany?s national football cup competition?;DFB-Pokal;FA Cup;Copa del Rey;Coppa Italia;A;
sport;Which of these is a famous German Olympic swimmer?;Michael Phelps;Franziska van Almsick;Katie Ledecky;Ian Thorpe;B;
sport;Which sport is Germany historically strong in at the Summer Olympics?;Rowing;Baseball;American football;Sumo;A;
sport;Which German city hosted the 1972 Summer Olympics?;Hamburg;Essen;Bonn;Munich;D;
sport;Which of these is a well-known German tennis player?;Boris Becker;Rafael Nadal;Novak Djokovic;Andy Murray;A;
sport;Which sport uses a ?puck? and is played on ice in Germany?;Ice hockey;Handball;Badminton;Water polo;A;
sport;In German sports culture, what does ?Mitglied? usually mean in a club context?;Visitor;Coach;Referee;Member;D;
sport;Which German city is strongly associated with FC St. Pauli?;Hamburg;Berlin;Frankfurt;Nuremberg;A;
sport;Which sport is associated with ?Bundesliga? besides football in Germany?;Handball;Cricket;Baseball;Lacrosse;A;
sport;Which of these is a German football club from the city of Leipzig?;FC Basel;Benfica;RB Leipzig;Olympique Lyon;C;
sport;Which sport is commonly practiced in German ?Turnverein? clubs?;Snooker;Surfing;Sailing;Gymnastics;D;
sport;Which statement best describes ?Sportverein? in Germany?;A sport shop;A stadium name;A government office;A sports club where people train and join teams;D;
