category,question,option_a,option_b,option_c,option_d,correct_option,source_url
leben_in_deutschland,What is the capital of Germany?,Munich,Hamburg,Berlin,Frankfurt,C,https://www.lebenindeutschland.eu/fragenkatalog
leben_in_deutschland,Which institution checks whether laws follow the Grundgesetz?,Bundestag,Bundesrat,Bundesverfassungsgericht,Bundesbank,C,https://www.lebenindeutschland.eu/fragenkatalog
geography,Which river flows through Cologne (Köln)?,Elbe,Rhine (Rhein),Danube (Donau),Oder,B,
culture,Which is a famous German composer?,Johann Sebastian Bach,Antonio Vivaldi,Frederic Chopin,Pyotr Tchaikovsky,A,
politics,Germany is a ...,Monarchy,Federal republic,One-party state,Military dictatorship,B,
leben_in_deutschland,What is the capital of Germany? (set 6),Munich,Hamburg,Berlin,Frankfurt,C,https://www.lebenindeutschland.eu/fragenkatalog
leben_in_deutschland,Which institution checks whether laws follow the Grundgesetz? (set 7),Bundestag,Bundesrat,Bundesverfassungsgericht,Bundesbank,C,https://www.lebenindeutschland.eu/fragenkatalog
geography,Which river flows through Cologne (Köln)? (set 8),Elbe,Rhine (Rhein),Danube (Donau),Oder,B,
culture,Which is a famous German composer? (set 9),Johann Sebastian Bach,Antonio Vivaldi,Frederic Chopin,Pyotr Tchaikovsky,A,
politics,Germany is a ... (set 10),Monarchy,Federal republic,One-party state,Military dictatorship,B,
leben_in_deutschland,What is the capital of Germany? (set 11),Munich,Hamburg,Berlin,Frankfurt,C,https://www.lebenindeutschland.eu/fragenkatalog
leben_in_deutschland,Which institution checks whether laws follow the Grundgesetz? (set 12),Bundestag,Bundesrat,Bundesverfassungsgericht,Bundesbank,C,https://www.lebenindeutschland.eu/fragenkatalog
geography,Which river flows through Cologne (Köln)? (set 13),Elbe,Rhine (Rhein),Danube (Donau),Oder,B,
culture,Which is a famous German composer? (set 14),Johann Sebastian Bach,Antonio Vivaldi,Frederic Chopin,Pyotr Tchaikovsky,A,
politics,Germany is a ... (set 15),Monarchy,Federal republic,One-party state,Military dictatorship,B,
leben_in_deutschland,What is the capital of Germany? (set 16),Munich,Hamburg,Berlin,Frankfurt,C,https://www.lebenindeutschland.eu/fragenkatalog
leben_in_deutschland,Which institution checks whether laws follow the Grundgesetz? (set 17),Bundestag,Bundesrat,Bundesverfassungsgericht,Bundesbank,C,https://www.lebenindeutschland.eu/fragenkatalog
geography,Which river flows through Cologne (Köln)? (set 18),Elbe,Rhine (Rhein),Danube (Donau),Oder,B,
culture,Which is a famous German composer? (set 19),Johann Sebastian Bach,Antonio Vivaldi,Frederic Chopin,Pyotr Tchaikovsky,A,
politics,Germany is a ... (set 20),Monarchy,Federal republic,One-party state,Military dictatorship,B,
leben_in_deutschland,What is the capital of Germany? (set 21),Munich,Hamburg,Berlin,Frankfurt,C,https://www.lebenindeutschland.eu/fragenkatalog
leben_in_deutschland,Which institution checks whether laws follow the Grundgesetz? (set 22),Bundestag,Bundesrat,Bundesverfassungsgericht,Bundesbank,C,https://www.lebenindeutschland.eu/fragenkatalog
